model,percentile,gamma,dT_O,dT_L_x,q_L_x
MPI-ESM1-2-LR,1,1.159832340515777,1.4445496,1.6754353435591296,0.012109549716114998
MPI-ESM1-2-LR,2,1.1562886296940942,1.4445496,1.6703162775091518,0.012165217660367489
MPI-ESM1-2-LR,5,1.1473831281798839,1.4445496,1.657451838859,0.012306631542742252
MPI-ESM1-2-LR,10,1.1368848777945697,1.4445496,1.6422865954641945,0.012476182542741299
MPI-ESM1-2-LR,15,1.130949397070052,1.4445496,1.6337124991577847,0.01257343590259552
MPI-ESM1-2-LR,25,1.1262320483789778,1.4445496,1.626898054993033,0.01265146117657423
MPI-ESM1-2-LR,35,1.1327185605559065,1.4445496,1.6362681435636104,0.012544341385364532
MPI-ESM1-2-LR,45,1.1513872884649878,1.4445496,1.6632360469971827,0.012242777273058891
MPI-ESM1-2-LR,55,1.1842567165192255,1.4445496,1.7107175661451606,0.011734929867088795
MPI-ESM1-2-LR,65,1.2343979716840991,1.4445496,1.7831490962370768,0.011012322269380093
MPI-ESM1-2-LR,75,1.3043449172099144,1.4445496,1.884190928417615,0.010097093880176544
MPI-ESM1-2-LR,85,1.4138712324843057,1.4445496,2.042407123336711,0.008845900185406208
MPI-ESM1-2-LR,90,1.5029049290828083,1.4445496,2.171020714144599,0.007963183335959911
MPI-ESM1-2-LR,95,1.6091111234551878,1.4445496,2.324440829742742,0.007037972565740347
MPI-ESM1-2-LR,98,1.6859543840859412,1.4445496,2.435444731149593,0.006441236473619938
MPI-ESM1-2-LR,99,1.7278153375414345,1.4445496,2.495914954719344,0.0061384933069348335
