model,gamma,dT_O,dT_L_x
INM-CM5-0,1.0659654503255556,1.3442688,1.4329440967505942
INM-CM5-0,1.0623405882993378,1.3442688,1.428071307824445
INM-CM5-0,1.0517160211056995,1.3442688,1.4137890336325334
INM-CM5-0,1.03762880777986,1.3442688,1.3948520322796631
INM-CM5-0,1.0281797375996986,1.3442688,1.3821499420474617
INM-CM5-0,1.0160391726593883,1.3442688,1.3658297593838287
INM-CM5-0,1.0103509520813678,1.3442688,1.3581832619332779
INM-CM5-0,1.0129102865418236,1.3442688,1.3616236953972334
INM-CM5-0,1.0249806825021448,1.3442688,1.3778495520903393
INM-CM5-0,1.0500182171911254,1.3442688,1.4115067288016536
INM-CM5-0,1.0969927147311187,1.3442688,1.4746530802403433
INM-CM5-0,1.185067508088139,1.3442688,1.593049277016633
INM-CM5-0,1.2203792445116413,1.3442688,1.6405177425645707
INM-CM5-0,1.2564897087309896,1.3442688,1.689059912968157
INM-CM5-0,1.2834451575568437,1.3442688,1.7252952818147493
INM-CM5-0,1.2920203339882508,1.3442688,1.7368226239459852
