model,percentile,alpha_O,alpha_L
INM-CM4-8,1,0.06402866,0.06608203829988156
INM-CM4-8,2,0.06402866,0.06611127762976304
INM-CM4-8,5,0.06402866,0.06617867241618261
INM-CM4-8,10,0.06402866,0.06623517939921685
INM-CM4-8,15,0.06402866,0.0662659121693066
INM-CM4-8,25,0.06402866,0.06625524764210057
INM-CM4-8,35,0.06402866,0.06623267874180176
INM-CM4-8,45,0.06402866,0.06617223709466041
INM-CM4-8,55,0.06402866,0.06609617082108638
INM-CM4-8,65,0.06402866,0.06591605866330583
INM-CM4-8,75,0.06402866,0.06563606361104389
INM-CM4-8,85,0.06402866,0.06497448222937707
INM-CM4-8,90,0.06402866,0.06450258169511582
INM-CM4-8,95,0.06402866,0.06384086366739417
INM-CM4-8,98,0.06402866,0.06326178880749174
INM-CM4-8,99,0.06402866,0.06296485138680286
