model,percentile,gamma,dT_O,dT_L_x,q_L_x
CESM2-WACCM,1,1.1905766224639966,2.5204468,3.0007850382441887,0.013265592977404594
CESM2-WACCM,2,1.186804354978716,2.5204468,2.991277238732169,0.01332692801952362
CESM2-WACCM,5,1.1764458939548454,2.5204468,2.9651692887916297,0.013497374020516872
CESM2-WACCM,10,1.1630474711344159,2.5204468,2.9313992768688313,0.013722345232963562
CESM2-WACCM,15,1.152705832492699,2.5204468,2.9053337268475596,0.013899566605687141
CESM2-WACCM,25,1.1409731737132627,2.5204468,2.875762184571437,0.014104515314102173
CESM2-WACCM,35,1.1390736260719256,2.5204468,2.870974475797382,0.014138094149529934
CESM2-WACCM,45,1.147328260608622,2.5204468,2.8917798430005672,0.013992982916533947
CESM2-WACCM,55,1.1664906458151363,2.5204468,2.940077615474694,0.01366403792053461
CESM2-WACCM,65,1.198611220011573,2.5204468,3.0210358139222655,0.01313624158501625
CESM2-WACCM,75,1.2480925478841018,2.5204468,3.1457508684183315,0.012376337312161922
CESM2-WACCM,85,1.3209290136726248,2.5204468,3.329331305538324,0.011361339129507542
CESM2-WACCM,90,1.3727320645318979,2.5204468,3.459898139306816,0.010704993270337582
CESM2-WACCM,95,1.4367319565901804,2.5204468,3.621206462445459,0.00995947141200304
CESM2-WACCM,98,1.4933357529556788,2.5204468,3.763873319862731,0.009353356435894966
CESM2-WACCM,99,1.5325516627474638,2.5204468,3.8627149342065246,0.008959686383605003
