,model,percentile,q_L_x_hist,q_O_x_hist,q_L_x_ssp245,q_O_x_ssp245,T_L_x_hist,T_O_x_hist,T_L_x_ssp245,T_O_x_ssp245
0,MPI-ESM1-2-LR,1,0.012109549716114998,0.015624375082552433,0.013410826213657856,0.017139485105872154,297.5835266113281,299.1645202636719,299.4834289550781,300.60833740234375
1,MPI-ESM1-2-LR,2,0.012165217660367489,0.015670713037252426,0.013467063196003437,0.01719130575656891,297.70648193359375,299.2278747558594,299.600830078125,300.67193603515625
2,MPI-ESM1-2-LR,5,0.012306631542742252,0.015794340521097183,0.0136176822707057,0.017328761518001556,298.00115966796875,299.38311767578125,299.88714599609375,300.82952880859375
3,MPI-ESM1-2-LR,10,0.012476182542741299,0.015967274084687233,0.013791322708129883,0.0175186675041914,298.3963317871094,299.5914001464844,300.2774353027344,301.0417785644531
4,MPI-ESM1-2-LR,15,0.01257343590259552,0.016114134341478348,0.013892168179154396,0.017677398398518562,298.7417907714844,299.7679748535156,300.6218566894531,301.22100830078125
5,MPI-ESM1-2-LR,25,0.01265146117657423,0.016352403908967972,0.013965574093163013,0.017931759357452393,299.3727111816406,300.06610107421875,301.2565002441406,301.5234680175781
6,MPI-ESM1-2-LR,35,0.012544341385364532,0.016536356881260872,0.013847678899765015,0.018122166395187378,299.9854736328125,300.3193054199219,301.8870849609375,301.7806091308594
7,MPI-ESM1-2-LR,45,0.012242777273058891,0.016688112169504166,0.013537882827222347,0.01827356033027172,300.6449890136719,300.5496826171875,302.5758972167969,302.0129089355469
8,MPI-ESM1-2-LR,55,0.011734929867088795,0.016824297606945038,0.013028396293520927,0.01840684935450554,301.41595458984375,300.7739562988281,303.3871765136719,302.2393798828125
9,MPI-ESM1-2-LR,65,0.011012322269380093,0.01695472188293934,0.01231652032583952,0.018532313406467438,302.3745422363281,301.0068664550781,304.3983459472656,302.4746398925781
10,MPI-ESM1-2-LR,75,0.010097093880176544,0.01708550564944744,0.011406938545405865,0.018652232363820076,303.622802734375,301.26971435546875,305.71502685546875,302.738525390625
11,MPI-ESM1-2-LR,85,0.008845900185406208,0.01721964403986931,0.01015755720436573,0.018767837435007095,305.3620300292969,301.61077880859375,307.5316467285156,303.0791320800781
12,MPI-ESM1-2-LR,90,0.007963183335959911,0.0172822754830122,0.009271465241909027,0.01881561055779457,306.55938720703125,301.85821533203125,308.7694396972656,303.3260498046875
13,MPI-ESM1-2-LR,95,0.007037972565740347,0.017295727506279945,0.008206966333091259,0.018803896382451057,308.19091796875,302.2731018066406,310.453125,303.7429504394531
14,MPI-ESM1-2-LR,98,0.006441236473619938,0.01706806756556034,0.00736303860321641,0.018539154902100563,309.7586975097656,302.8822937011719,312.038818359375,304.3666687011719
15,MPI-ESM1-2-LR,99,0.0061384933069348335,0.016601333394646645,0.0069654094986617565,0.018040457740426064,310.693115234375,303.46710205078125,312.97186279296875,304.9757080078125
