,model,percentile,alpha_O,alpha_L
108,CNRM-ESM2-1,90,0.065476194,0.0656673636376367
109,CNRM-ESM2-1,95,0.065476194,0.0653624111611781
110,CNRM-ESM2-1,98,0.065476194,0.0651092293399301
111,CNRM-ESM2-1,99,0.065476194,0.0649677858870036
112,GFDL-CM4,1,0.06512577,0.0679413255477321
113,GFDL-CM4,2,0.06512577,0.067952701257875
114,GFDL-CM4,5,0.06512577,0.0679359592687723
115,GFDL-CM4,10,0.06512577,0.0678515877709552
116,GFDL-CM4,15,0.06512577,0.0677400639693977
117,GFDL-CM4,25,0.06512577,0.0675280200820414
118,GFDL-CM4,35,0.06512577,0.0673121563539726
119,GFDL-CM4,45,0.06512577,0.0670838977720638
120,GFDL-CM4,55,0.06512577,0.0668326720485591
121,GFDL-CM4,65,0.06512577,0.0665081078466695
122,GFDL-CM4,75,0.06512577,0.0660512472425422
123,GFDL-CM4,85,0.06512577,0.0654206805921351
124,GFDL-CM4,90,0.06512577,0.0650354333904534
125,GFDL-CM4,95,0.06512577,0.0645432743349263
126,GFDL-CM4,98,0.06512577,0.0641193174490437
127,GFDL-CM4,99,0.06512577,0.0639096056313314
128,GFDL-ESM4,1,0.06420044,0.0672151986399952
129,GFDL-ESM4,2,0.06420044,0.0671929336260152
130,GFDL-ESM4,5,0.06420044,0.0671790639297692
131,GFDL-ESM4,10,0.06420044,0.0670608328852103
132,GFDL-ESM4,15,0.06420044,0.0669367335047618
133,GFDL-ESM4,25,0.06420044,0.0667184046511822
134,GFDL-ESM4,35,0.06420044,0.0664931758128594
135,GFDL-ESM4,45,0.06420044,0.0662680357338319
136,GFDL-ESM4,55,0.06420044,0.0659810123617222
137,GFDL-ESM4,65,0.06420044,0.0656288933720814
138,GFDL-ESM4,75,0.06420044,0.0651487530887158
139,GFDL-ESM4,85,0.06420044,0.0645338690183133
140,GFDL-ESM4,90,0.06420044,0.0641457907394047
141,GFDL-ESM4,95,0.06420044,0.0636402372920256
142,GFDL-ESM4,98,0.06420044,0.0631771514396073
143,GFDL-ESM4,99,0.06420044,0.062896548589774
144,HadGEM3-GC31-LL,1,0.06573906,0.0693201624575774
145,HadGEM3-GC31-LL,2,0.06573906,0.0692878142677873
146,HadGEM3-GC31-LL,5,0.06573906,0.0692197160613459
147,HadGEM3-GC31-LL,10,0.06573906,0.0690856252560901
148,HadGEM3-GC31-LL,15,0.06573906,0.0689652917920035
149,HadGEM3-GC31-LL,25,0.06573906,0.0687416963630574
150,HadGEM3-GC31-LL,35,0.06573906,0.0685352708277553
151,HadGEM3-GC31-LL,45,0.06573906,0.0683370753816633
152,HadGEM3-GC31-LL,55,0.06573906,0.0681216082771502
153,HadGEM3-GC31-LL,65,0.06573906,0.0678827810548566
154,HadGEM3-GC31-LL,75,0.06573906,0.0675681524399597
155,HadGEM3-GC31-LL,85,0.06573906,0.0671037442261788
156,HadGEM3-GC31-LL,90,0.06573906,0.0667607248033631
157,HadGEM3-GC31-LL,95,0.06573906,0.0662837936196977
158,HadGEM3-GC31-LL,98,0.06573906,0.0658268670541274
159,HadGEM3-GC31-LL,99,0.06573906,0.0655790395428831
160,INM-CM4-8,1,0.06402866,0.0660820382998815
