model,gamma,dT_O,dT_L_x,percentile
GFDL-CM4,1.5407797100239469,1.9306335,2.9746809242925174,98
GFDL-CM4,1.5685168328472416,1.9306335,3.028231142808785,99
GFDL-ESM4,1.1529439224558975,1.5941162,1.8379265844784904,1
GFDL-ESM4,1.1493516517254818,1.5941162,1.8322000875123483,2
GFDL-ESM4,1.139580583562803,1.5941162,1.816623869462918,5
GFDL-ESM4,1.1285650531424978,1.5941162,1.7990638339683165,10
GFDL-ESM4,1.121107377941635,1.5941162,1.787175433116283,15
GFDL-ESM4,1.112413098135407,1.5941162,1.773315740829842,25
GFDL-ESM4,1.1121980511770428,1.5941162,1.772972930989753,35
GFDL-ESM4,1.1212554082908377,1.5941162,1.7874114106940386,45
GFDL-ESM4,1.1429533313663711,1.5941162,1.8220004213751009,55
GFDL-ESM4,1.184079815277384,1.5941162,1.8875608156266848,65
GFDL-ESM4,1.2560686204710718,1.5941162,2.0023193362045872,75
GFDL-ESM4,1.3508615296443316,1.5941162,2.153430248362809,85
GFDL-ESM4,1.403513717649992,1.5941162,2.2373639542280785,90
GFDL-ESM4,1.4691570890710584,1.5941162,2.342007116033017,95
GFDL-ESM4,1.5221683382391942,1.5941162,2.426513207114179,98
GFDL-ESM4,1.554248270130289,1.5941162,2.4776523462366704,99
HadGEM3-GC31-LL,1.1143473675908702,2.6574402,2.9613114914001555,1
HadGEM3-GC31-LL,1.1103857991046124,2.6574402,2.950783860049721,2
HadGEM3-GC31-LL,1.0993116924421975,2.6574402,2.921355083825932,5
HadGEM3-GC31-LL,1.085726078326457,2.6574402,2.8852521267330755,10
HadGEM3-GC31-LL,1.076845221430472,2.6574402,2.8616517806072377,15
HadGEM3-GC31-LL,1.0664727566459669,2.6574402,2.834087575715809,25
HadGEM3-GC31-LL,1.0627696959018686,2.6574402,2.8242469132314008,35
HadGEM3-GC31-LL,1.069658313026104,2.6574402,2.842553001299753,45
HadGEM3-GC31-LL,1.0892757323838926,2.6574402,2.894685120121398,55
HadGEM3-GC31-LL,1.124518809194084,2.6574402,2.988341489208488,65
HadGEM3-GC31-LL,1.18667771273464,2.6574402,3.153525058265084,75
HadGEM3-GC31-LL,1.299317936255688,2.6574402,3.4528597163869024,85
HadGEM3-GC31-LL,1.386841595196297,2.6574402,3.6854486061067657,90
HadGEM3-GC31-LL,1.5321988206001682,2.6574402,4.071726740255475,95
HadGEM3-GC31-LL,1.714866096870005,2.6574402,4.557154103439445,98
HadGEM3-GC31-LL,1.86029144238308,2.6574402,4.94361326270478,99
INM-CM4-8,1.076414147692992,1.3584595,1.462265024867948,1
INM-CM4-8,1.0720887472099692,1.3584595,1.456389143490481,2
INM-CM4-8,1.060442969975275,1.3584595,1.4405688267711274,5
INM-CM4-8,1.04487458617733,1.3584595,1.4194198079011626,10
INM-CM4-8,1.0342328147903983,1.3584595,1.404963392463757,15
INM-CM4-8,1.02033870737969,1.3584595,1.3860888102576598,25
INM-CM4-8,1.0137818486348116,1.3584595,1.3771815832055216,35
INM-CM4-8,1.0160202992340754,1.3584595,1.3802224276873725,45
INM-CM4-8,1.0272890778993835,1.3584595,1.3955306071186575,55
INM-CM4-8,1.0509781754057237,1.3584595,1.4277112866725714,65
INM-CM4-8,1.093882236272342,1.3584595,1.4859947157454074,75
INM-CM4-8,1.1888403761753632,1.3584595,1.6149915029989956,85
INM-CM4-8,1.2340092363871584,1.3584595,1.676351570257881,90
INM-CM4-8,1.2748994207231157,1.3584595,1.731899229625813,95
INM-CM4-8,1.2965797608702136,1.3584595,1.76135109366187,98
INM-CM4-8,1.3005456427471431,1.3584595,1.7667385835734626,99
INM-CM5-0,1.0659654503255556,1.3442688,1.4329440967505942,1
INM-CM5-0,1.0623405882993378,1.3442688,1.428071307824445,2
INM-CM5-0,1.0517160211056995,1.3442688,1.4137890336325334,5
INM-CM5-0,1.03762880777986,1.3442688,1.3948520322796631,10
INM-CM5-0,1.0281797375996986,1.3442688,1.3821499420474617,15
INM-CM5-0,1.0160391726593885,1.3442688,1.365829759383829,25
INM-CM5-0,1.0103509520813678,1.3442688,1.358183261933278,35
INM-CM5-0,1.0129102865418236,1.3442688,1.3616236953972334,45
INM-CM5-0,1.0249806825021448,1.3442688,1.377849552090339,55
INM-CM5-0,1.0500182171911254,1.3442688,1.4115067288016536,65
INM-CM5-0,1.0969927147311187,1.3442688,1.4746530802403433,75
INM-CM5-0,1.185067508088139,1.3442688,1.593049277016633,85
INM-CM5-0,1.2203792445116413,1.3442688,1.6405177425645707,90
INM-CM5-0,1.2564897087309896,1.3442688,1.689059912968157,95
INM-CM5-0,1.2834451575568435,1.3442688,1.7252952818147491,98
INM-CM5-0,1.2920203339882508,1.3442688,1.7368226239459852,99
KACE-1-0-G,1.144686388653782,2.361084,2.7027007172682267,1
KACE-1-0-G,1.1411204380213549,2.361084,2.694281208285212,2
KACE-1-0-G,1.1308703287331978,2.361084,2.670079839246694,5
KACE-1-0-G,1.1197114196790112,2.361084,2.6437327176213983,10
KACE-1-0-G,1.1139196881590092,2.361084,2.630057952997226,15
KACE-1-0-G,1.1081072072207885,2.361084,2.616334197253688,25
KACE-1-0-G,1.1109271018699032,2.361084,2.6229922053913985,35
KACE-1-0-G,1.1241715050611596,2.361084,2.6542633538558227,45
KACE-1-0-G,1.146889287001081,2.361084,2.70790194530966,55
KACE-1-0-G,1.1822736079022675,2.361084,2.791447299240317,65
KACE-1-0-G,1.238482848991775,2.361084,2.924162039028896,75
KACE-1-0-G,1.3368920048466006,2.361084,3.156514322371231,85
KACE-1-0-G,1.41700358954146,2.361084,3.345664503208908,90
KACE-1-0-G,1.5549477600978086,2.361084,3.6713622772027743,95
KACE-1-0-G,1.7340710027375077,2.361084,4.094287299427486,98
KACE-1-0-G,1.861499523608667,2.361084,4.395156741200046,99
MIROC-ES2L,1.1151988796412713,1.6603088,1.8515745136185435,1
MIROC-ES2L,1.112817373754446,1.6603088,1.847620478437396,2
MIROC-ES2L,1.1073010637693923,1.6603088,1.838461700425684,5
MIROC-ES2L,1.1021509481375895,1.6603088,1.8299109181211837,10
MIROC-ES2L,1.1004415617325962,1.6603088,1.8270728088303727,15
MIROC-ES2L,1.102516260809201,1.6603088,1.8305174499646115,25
MIROC-ES2L,1.1122363882249924,1.6603088,1.846655863050171,35
MIROC-ES2L,1.1300437665113825,1.6603088,1.8762216099239928,45
MIROC-ES2L,1.157580259658671,1.6603088,1.9219406918175763,55
MIROC-ES2L,1.199541722712827,1.6603088,1.991609678187267,65
MIROC-ES2L,1.2630008433098734,1.6603088,2.096971414554804,75
MIROC-ES2L,1.3535360773634764,1.6603088,2.2472878603640605,85
MIROC-ES2L,1.4257270540905085,1.6603088,2.367147174304547,90
MIROC-ES2L,1.5456943271788213,1.6603088,2.566329893525076,95
MIROC-ES2L,1.669848519328469,1.6603088,2.772464191308027,98
MIROC-ES2L,1.7365042271334403,1.6603088,2.88313324954685,99
MPI-ESM1-2-LR,1.1675349397815795,1.4445496,1.6865621302475051,1
MPI-ESM1-2-LR,1.1630715428695464,1.4445496,1.6801145320235862,2
MPI-ESM1-2-LR,1.1532533923268025,1.4445496,1.6659317265843256,5
MPI-ESM1-2-LR,1.1429331458138778,1.4445496,1.651023618612179,10
MPI-ESM1-2-LR,1.137625676346192,1.4445496,1.6433567157156213,15
MPI-ESM1-2-LR,1.1342726104644023,1.4445496,1.638513045737308,25
MPI-ESM1-2-LR,1.143158251878768,1.4445496,1.6513487954881736,35
MPI-ESM1-2-LR,1.164986626239658,1.4445496,1.6828809649398475,45
MPI-ESM1-2-LR,1.2020337040942362,1.4445496,1.736397306435847,55
MPI-ESM1-2-LR,1.2577233711729636,1.4445496,1.816843792738556,65
MPI-ESM1-2-LR,1.3352005918358112,1.4445496,1.928763480856184,75
MPI-ESM1-2-LR,1.454766776459374,1.4445496,2.101482765027678,85
MPI-ESM1-2-LR,1.5501307782296403,1.4445496,2.2392407956393154,90
MPI-ESM1-2-LR,1.6642428274157672,1.4445496,2.4040813106463155,95
MPI-ESM1-2-LR,1.7482593788820693,1.4445496,2.5254473864603417,98
MPI-ESM1-2-LR,1.7942075449624282,1.4445496,2.5918217913924577,99
MRI-ESM2-0,1.186322897301373,1.8265381,2.166863970823345,1
MRI-ESM2-0,1.1832971466325215,1.8265381,2.161337321945587,2
MRI-ESM2-0,1.174378489382987,1.8265381,2.145047054678471,5
MRI-ESM2-0,1.162744545058343,1.8265381,2.12379721211623,10
MRI-ESM2-0,1.1539741659071678,1.8265381,2.107777780445163,15
MRI-ESM2-0,1.1454147196764333,1.8265381,2.092143625789825,25
MRI-ESM2-0,1.1468376132793552,1.8265381,2.094742595167808,35
MRI-ESM2-0,1.1622459963984229,1.8265381,2.122886593994182,45
MRI-ESM2-0,1.197068934309815,1.8265381,2.1864920168432747,55
MRI-ESM2-0,1.2626535254869695,1.8265381,2.3062847714012715,65
MRI-ESM2-0,1.3747794975781735,1.8265381,2.511087131425392,75
MRI-ESM2-0,1.5375963382789093,1.8265381,2.808478294286916,85
MRI-ESM2-0,1.6377421489819022,1.8265381,2.991398433091321,90
MRI-ESM2-0,1.7547934875116435,1.8265381,3.205197162571891,95
MRI-ESM2-0,1.8364094202557597,1.8265381,3.3542717732960567,98
MRI-ESM2-0,1.878257841842228,1.8265381,3.430709509748604,99
NorESM2-LM,1.1981170020953067,1.6014099,1.9186764285137448,1
NorESM2-LM,1.1943319001541506,1.6014099,1.912614928792668,2
NorESM2-LM,1.1838002624759214,1.6014099,1.895749459951539,5
NorESM2-LM,1.1685559704236086,1.6014099,1.871337099740474,10
NorESM2-LM,1.1588275932754284,1.6014099,1.8557579802644444,15
NorESM2-LM,1.1501384175149212,1.6014099,1.841843048178728,25
NorESM2-LM,1.1530075913603766,1.6014099,1.8464377715796612,35
NorESM2-LM,1.1660746158433526,1.6014099,1.8673634339502416,45
NorESM2-LM,1.188759365864877,1.6014099,1.903691017213736,55
NorESM2-LM,1.2236680140251692,1.6014099,1.9595940719732448,65
NorESM2-LM,1.276789802633953,1.6014099,2.0446638301570585,75
NorESM2-LM,1.356281000837973,1.6014099,2.1719618219238384,85
NorESM2-LM,1.4067750454016863,1.6014099,2.2528234847792104,90
NorESM2-LM,1.4676449429109424,1.6014099,2.3503011412625177,95
NorESM2-LM,1.523103992104584,1.6014099,2.4391138116858024,98
NorESM2-LM,1.5583461982667777,1.6014099,2.4955510295317804,99
UKESM1-0-LL,1.14373152418279,2.8931885,3.30903089285312,1
UKESM1-0-LL,1.1394408255945885,2.8931885,3.2966170930407683,2
UKESM1-0-LL,1.12869404233694,2.8931885,3.265524623307748,5
UKESM1-0-LL,1.115952411138878,2.8931885,3.228660682454273,10
UKESM1-0-LL,1.1081959813973363,2.8931885,3.206219869124988,15
UKESM1-0-LL,1.0998707976622215,2.8931885,3.1821335432821667,25
UKESM1-0-LL,1.0981938008944254,2.8931885,3.1772816755190414,35
UKESM1-0-LL,1.1081189877234858,2.8931885,3.2059971119132302,45
UKESM1-0-LL,1.1320229679356508,2.8931885,3.2751558325672936,55
UKESM1-0-LL,1.174494844236848,2.8931885,3.39803497665534,65
UKESM1-0-LL,1.2486204686017168,2.8931885,3.612494380623098,75
UKESM1-0-LL,1.377957156819993,2.8931885,3.9866897996043007,85
UKESM1-0-LL,1.467335031357987,2.8931885,4.245276838372067,90
UKESM1-0-LL,1.5919958035539534,2.8931885,4.605943950890557,95
UKESM1-0-LL,1.7363717755945745,2.8931885,5.023650852874804,98
UKESM1-0-LL,1.843191396184136,2.8931885,5.332700150738885,99
