model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking,start,stop,inspan
ACCESS-ESM1-5,huss_day_ACCESS-ESM1-5_abrupt-4xCO2_r2i1p1f1_gn_10510101-11001231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r2i1p1f1/day/huss/gn/v20200901/huss_day_ACCESS-ESM1-5_abrupt-4xCO2_r2i1p1f1_gn_10510101-11001231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r2i1p1f1/day/huss/gn/v20200901/huss_day_ACCESS-ESM1-5_abrupt-4xCO2_r2i1p1f1_gn_10510101-11001231.nc,2,1,1,1,r2i1p1f1,abrupt-4xCO2,huss,day,True,1051,1100,True
ACCESS-ESM1-5,ps_Amon_ACCESS-ESM1-5_abrupt-4xCO2_r2i1p1f1_gn_060101-110012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r2i1p1f1/Amon/ps/gn/v20200901/ps_Amon_ACCESS-ESM1-5_abrupt-4xCO2_r2i1p1f1_gn_060101-110012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r2i1p1f1/Amon/ps/gn/v20200901/ps_Amon_ACCESS-ESM1-5_abrupt-4xCO2_r2i1p1f1_gn_060101-110012.nc,2,1,1,1,r2i1p1f1,abrupt-4xCO2,ps,mon,True,601,1100,True
ACCESS-ESM1-5,hurs_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_10510101-11001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/day/hurs/gn/v20210316/hurs_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_10510101-11001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/day/hurs/gn/v20210316/hurs_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_10510101-11001231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True,1051,1100,True
ACCESS-ESM1-5,huss_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_10510101-11001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/day/huss/gn/v20210316/huss_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_10510101-11001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/day/huss/gn/v20210316/huss_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_10510101-11001231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True,1051,1100,True
ACCESS-ESM1-5,tas_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_10510101-11001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/day/tas/gn/v20210316/tas_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_10510101-11001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/day/tas/gn/v20210316/tas_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_10510101-11001231.nc,1,1,1,1,r1i1p1f1,piControl,tas,day,True,1051,1100,True
ACCESS-ESM1-5,ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_100101-110012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Amon/ps/gn/v20210316/ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_100101-110012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Amon/ps/gn/v20210316/ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_100101-110012.nc,1,1,1,1,r1i1p1f1,piControl,ps,mon,True,1001,1100,True
CESM2,tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09700101-09791231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09700101-09791231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09700101-09791231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True,970,979,True
CESM2,tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09800101-09891231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09800101-09891231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09800101-09891231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True,980,989,True
CESM2,tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09900101-09991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09900101-09991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09900101-09991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,day,True,990,999,True
CESM2,huss_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09700101-09791231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/huss/gn/v20190927/huss_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09700101-09791231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/huss/gn/v20190927/huss_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09700101-09791231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,huss,day,True,970,979,True
