model,period,span,startShared,stopShared
MPI-ESM-1-2-HAM,piControl,999,1850,2849
MPI-ESM1-2-HR,abrupt-4xCO2,164,1850,2014
MPI-ESM1-2-HR,historical,164,1850,2014
MPI-ESM1-2-HR,piControl,499,1850,2349
MPI-ESM1-2-HR,ssp245,85,2015,2100
MPI-ESM1-2-LR,abrupt-4xCO2,164,1850,2014
MPI-ESM1-2-LR,historical,164,1850,2014
MPI-ESM1-2-LR,piControl,999,1850,2849
MPI-ESM1-2-LR,ssp245,85,2015,2100
NorESM2-LM,abrupt-4xCO2,499,1,500
NorESM2-LM,historical,164,1850,2014
NorESM2-LM,piControl,500,1600,2100
NorESM2-LM,ssp245,35,2015,2050
NorESM2-MM,abrupt-4xCO2,149,1,150
NorESM2-MM,historical,164,1850,2014
NorESM2-MM,piControl,499,1200,1699
NorESM2-MM,ssp245,85,2015,2100
SAM0-UNICON,abrupt-4xCO2,149,1850,1999
SAM0-UNICON,piControl,699,1,700
TaiESM1,historical,164,1850,2014
TaiESM1,ssp245,85,2015,2100
UKESM1-0-LL,abrupt-4xCO2,149,1850,1999
UKESM1-0-LL,historical,164,1850,2014
UKESM1-0-LL,piControl,1099,1960,3059
UKESM1-0-LL,ssp245,85,2015,2100
